Removed Pin From Net: NetName=3.3V_AUX Pin=C174-2
Removed Pin From Net: NetName=3.3V Pin=C215-1
Removed Pin From Net: NetName=3.3V Pin=C216-2
Removed Pin From Net: NetName=3.3V Pin=C217-1
Removed Pin From Net: NetName=3.3V Pin=C218-1
Removed Pin From Net: NetName=3.3V Pin=C219-2
Removed Pin From Net: NetName=USB_TCK Pin=IC10-4
Removed Pin From Net: NetName=USB_TMS Pin=IC12-5
Removed Pin From Net: NetName=3.3V Pin=L4-2
Removed Pin From Net: NetName=3.3V_AUX Pin=P0-D5
Removed Pin From Net: NetName=3.3V Pin=R177-2
Removed Pin From Net: NetName=3.3V Pin=R185-2
Removed Pin From Net: NetName=3.3V Pin=R196-2
Removed Pin From Net: NetName=GND Pin=R207-1
Removed Pin From Net: NetName=3.3V Pin=R216-2
Removed Member From Class: ClassName=U_USB_JTAG Member=C195
Removed Member From Class: ClassName=U_USB_JTAG Member=D5
Removed Member From Class: ClassName=U_USB_JTAG Member=D6
Removed Member From Class: ClassName=U_USB_JTAG Member=J3
Removed Member From Class: ClassName=U_USB_JTAG Member=R207
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DA_N
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DA_P
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DB_N
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DB_P
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DC_N
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DC_P
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DD_N
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DD_P
Change Component Footprint: Designator=R207 Old Footprint=RESC1005X40N New Footprint=RESC1608X55N
Change Component Comment : Designator=R207 Old Comment=1k New Comment=2k37
Change component parameters: Designator = "R207"; Footprint = "RESC1608X55N"; UniqueID = "\URLXRHWU\ERIBKRQF\YZCXVILM"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270677503L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_75K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_75K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "75k"; VariantName = "[No Variations]"
Added Component: Designator=R280(RESC3216X80N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM BC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentHeight"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "29/07/2015"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R1206_TT ELECTRONICS_LRMA.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "29/07/2015"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TT Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "LRMAM1206-R01FT5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "Low Value Metal Alloy Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R1206_0R01_1%_1W_100PPM_TT_LRMAM1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0R01"; VariantName = "[No Variations]"
Added Component: Designator=R281(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03/12/2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17/10/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270675103L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_47K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_47K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "47k"; VariantName = "[No Variations]"
Added Component: Designator=R282(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03/12/2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17/10/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270676203L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_62K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_62K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "62k"; VariantName = "[No Variations]"
Added Component: Designator=R283(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03/12/2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17/10/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270671003L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_10K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_10K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=TP14(TPS127)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentHeight"; Value = "0mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard (No BOM)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "12.01.2008"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "Test Point"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "Undefined"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "12.01.2008"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "1.27mm x 1.27mm PCB Copper Area (SMD Test Point)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "1.27mm x 1.27mm PCB Copper Area (SMD Test Point)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "SMD_PAD_1.27X1.27MM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "None"; VariantName = "[No Variations]"
Added Pin To Net: NetName=3.3V Pin=C195-1
Added Pin To Net: NetName=P3V3_buck Pin=C215-1
Added Pin To Net: NetName=P3V3_buck Pin=C216-2
Added Pin To Net: NetName=P3V3_buck Pin=C217-1
Added Pin To Net: NetName=P3V3_buck Pin=C218-1
Added Pin To Net: NetName=P3V3_buck Pin=C219-2
Added Pin To Net: NetName=GND Pin=C267-1
Added Pin To Net: NetName=Umeas_P12V0 Pin=C267-2
Added Pin To Net: NetName=GND Pin=C268-1
Added Pin To Net: NetName=Umeas_P1V2 Pin=C268-2
Added Pin To Net: NetName=GND Pin=C269-1
Added Pin To Net: NetName=Umeas_P3V3MP Pin=C269-2
Added Pin To Net: NetName=GND Pin=C270-1
Added Pin To Net: NetName=GND Pin=C271-1
Added Pin To Net: NetName=Imeas_P3V3MP Pin=C271-2
Added Pin To Net: NetName=GND Pin=C272-1
Added Pin To Net: NetName=Umeas_P2V5 Pin=C272-2
Added Pin To Net: NetName=GND Pin=C273-1
Added Pin To Net: NetName=Umeas_P3V3 Pin=C273-2
Added Pin To Net: NetName=GND Pin=C274-1
Added Pin To Net: NetName=PVIN Pin=C274-2
Added Pin To Net: NetName=GND Pin=C275-1
Added Pin To Net: NetName=Imeas_P3V3 Pin=C275-2
Added Pin To Net: NetName=CPU_TDI Pin=D5-3
Added Pin To Net: NetName=CPU_TCK Pin=D5-4
Added Pin To Net: NetName=CPU_TDO Pin=D5-6
Added Pin To Net: NetName=CPU_TMS Pin=D6-1
Added Pin To Net: NetName=NetC228_1 Pin=D8-1
Added Pin To Net: NetName=CPU_TCK Pin=IC10-4
Added Pin To Net: NetName=CPU_TDI Pin=IC10-5
Added Pin To Net: NetName=USB_TCK Pin=IC10-9
Added Pin To Net: NetName=USB_TCK Pin=IC11-12
Added Pin To Net: NetName=USB_TMS Pin=IC11-15
Added Pin To Net: NetName=CPU_TDO Pin=IC12-4
Added Pin To Net: NetName=CPU_TMS Pin=IC12-5
Added Pin To Net: NetName=USB_TMS Pin=IC12-8
Added Pin To Net: NetName=GND Pin=IC19-1
Added Pin To Net: NetName=PVIN Pin=IC19-3
Added Pin To Net: NetName=P3V3_buck Pin=IC19-4
Added Pin To Net: NetName=3.3V Pin=IC19-5
Added Pin To Net: NetName=NetC177_1 Pin=IC31-4
Added Pin To Net: NetName=NetC192_1 Pin=IC31-6
Added Pin To Net: NetName=NetC228_1 Pin=IC31-57
Added Pin To Net: NetName=CPU_TCK Pin=J3-1
Added Pin To Net: NetName=CPU_TDO Pin=J3-3
Added Pin To Net: NetName=CPU_TMS Pin=J3-5
Added Pin To Net: NetName=3.3V Pin=J3-6
Added Pin To Net: NetName=CPU_TDI Pin=J3-9
Added Pin To Net: NetName=3.3V_AUX Pin=J11-12
Added Pin To Net: NetName=P3V3_buck Pin=L4-2
Added Pin To Net: NetName=P3V3MP Pin=R177-2
Added Pin To Net: NetName=P3V3MP Pin=R185-2
Added Pin To Net: NetName=P3V3_buck Pin=R196-2
Added Pin To Net: NetName=3.3V Pin=R207-1
Added Pin To Net: NetName=P3V3MP Pin=R216-2
Added Pin To Net: NetName=USB_TCK Pin=R228-1
Added Pin To Net: NetName=USB_TMS Pin=R231-1
Added Pin To Net: NetName=NetC228_1 Pin=R244-1
Added Pin To Net: NetName=PVIN Pin=R269-1
Added Pin To Net: NetName=Umeas_P12V0 Pin=R269-2
Added Pin To Net: NetName=GND Pin=R270-1
Added Pin To Net: NetName=Umeas_P12V0 Pin=R270-2
Added Pin To Net: NetName=GND Pin=R271-1
Added Pin To Net: NetName=Umeas_P12V0 Pin=R271-2
Added Pin To Net: NetName=Umeas_P1V2 Pin=R272-1
Added Pin To Net: NetName=P1V2 Pin=R272-2
Added Pin To Net: NetName=P3V3MP Pin=R273-2
Added Pin To Net: NetName=GND Pin=R274-1
Added Pin To Net: NetName=P3V3MP Pin=R274-2
Added Pin To Net: NetName=P3V3MP Pin=R275-1
Added Pin To Net: NetName=Umeas_P3V3MP Pin=R275-2
Added Pin To Net: NetName=GND Pin=R276-1
Added Pin To Net: NetName=Umeas_P3V3MP Pin=R276-2
Added Pin To Net: NetName=Imeas_P3V3MP Pin=R277-1
Added Pin To Net: NetName=P2V5 Pin=R278-1
Added Pin To Net: NetName=Umeas_P2V5 Pin=R278-2
Added Pin To Net: NetName=GND Pin=R279-1
Added Pin To Net: NetName=Umeas_P2V5 Pin=R279-2
Added Pin To Net: NetName=P3V3_buck Pin=R280-1
Added Pin To Net: NetName=3.3V Pin=R280-2
Added Pin To Net: NetName=Umeas_P3V3 Pin=R281-1
Added Pin To Net: NetName=3.3V Pin=R281-2
Added Pin To Net: NetName=GND Pin=R282-1
Added Pin To Net: NetName=Umeas_P3V3 Pin=R282-2
Added Pin To Net: NetName=Imeas_P3V3 Pin=R283-1
Added Pin To Net: NetName=P3V3MP Pin=TP14-1
Added Pin To Net: NetName=CPU_TRST Pin=U1-A16
Added Pin To Net: NetName=NetC228_1 Pin=U12-15
Change Net Name : Old Net Name=CPtp08-DA_N New Net Name=CPtp08-DA_13_N
Change Net Name : Old Net Name=CPtp08-DA_P New Net Name=CPtp08-DA_13_P
Change Net Name : Old Net Name=CPtp08-DB_N New Net Name=CPtp08-DB_13_N
Change Net Name : Old Net Name=CPtp08-DB_P New Net Name=CPtp08-DB_13_P
Change Net Name : Old Net Name=CPtp08-DC_N New Net Name=CPtp08-DC_13_N
Change Net Name : Old Net Name=CPtp08-DC_P New Net Name=CPtp08-DC_13_P
Change Net Name : Old Net Name=CPtp08-DD_N New Net Name=CPtp08-DD_13_N
Change Net Name : Old Net Name=CPtp08-DD_P New Net Name=CPtp08-DD_13_P
Change Net Name : Old Net Name=NetC177_1 New Net Name=PG_P1V2
Change Net Name : Old Net Name=NetC192_1 New Net Name=PG_P2V5
Change Net Name : Old Net Name=NetC228_1 New Net Name=PG_P3V3
Added Pin To Net: NetName=CPtp08-DA_N Pin=J14-56
Added Pin To Net: NetName=CPtp08-DA_N Pin=U1-W23
Added Net: Name=CPtp08-DA_N
Added Pin To Net: NetName=CPtp08-DA_P Pin=J14-54
Added Pin To Net: NetName=CPtp08-DA_P Pin=U1-W22
Added Net: Name=CPtp08-DA_P
Added Pin To Net: NetName=CPtp08-DD_N Pin=J14-50
Added Pin To Net: NetName=CPtp08-DD_N Pin=U1-V25
Added Net: Name=CPtp08-DD_N
Added Pin To Net: NetName=CPU_RST Pin=C1-2
Added Pin To Net: NetName=CPU_RST Pin=IC31-53
Added Net: Name=CPU_RST
Added Pin To Net: NetName=NetIC18_2 Pin=R277-2
Added Net: Name=NetIC18_2
Added Pin To Net: NetName=NetIC19_2 Pin=IC19-2
Added Pin To Net: NetName=NetIC19_2 Pin=R283-2
Added Net: Name=NetIC19_2
Added Member To Class: ClassName=U_GR740_GPIO Member=Component C195 100nF
Added Member To Class: ClassName=U_Power Member=Component C267 10nF
Added Member To Class: ClassName=U_Power Member=Component C268 10nF
Added Member To Class: ClassName=U_Power Member=Component C269 10nF
Added Member To Class: ClassName=U_Power Member=Component C270 100nF
Added Member To Class: ClassName=U_Power Member=Component C271 100nF
Added Member To Class: ClassName=U_Power Member=Component C272 10nF
Added Member To Class: ClassName=U_PWR_3V3 Member=Component C273 10nF
Added Member To Class: ClassName=U_PWR_3V3 Member=Component C274 100nF
Added Member To Class: ClassName=U_PWR_3V3 Member=Component C275 10nF
Added Member To Class: ClassName=U_GR740_GPIO Member=Component D5 QSBT40-7-F
Added Member To Class: ClassName=U_GR740_GPIO Member=Component D6 QSBT40-7-F
Added Member To Class: ClassName=U_PWR_3V3 Member=Component IC19 MAX4372FEUK
Added Member To Class: ClassName=U_GR740_GPIO Member=Component J3 62501021621
Added Member To Class: ClassName=U_GR740_GPIO Member=Component R207 2k37
Added Member To Class: ClassName=U_Power Member=Component R269 100k
Added Member To Class: ClassName=U_Power Member=Component R270 18k
Added Member To Class: ClassName=U_Power Member=Component R271 100k
Added Member To Class: ClassName=U_Power Member=Component R272 10k
Added Member To Class: ClassName=U_Power Member=Component R273 0R22
Added Member To Class: ClassName=U_Power Member=Component R274 10k
Added Member To Class: ClassName=U_Power Member=Component R275 100k
Added Member To Class: ClassName=U_Power Member=Component R276 18k
Added Member To Class: ClassName=U_Power Member=Component R277 10k
Added Member To Class: ClassName=U_Power Member=Component R278 24k
Added Member To Class: ClassName=U_Power Member=Component R279 75k
Added Member To Class: ClassName=U_PWR_3V3 Member=Component R280 0R01
Added Member To Class: ClassName=U_PWR_3V3 Member=Component R281 47k
Added Member To Class: ClassName=U_PWR_3V3 Member=Component R282 62k
Added Member To Class: ClassName=U_PWR_3V3 Member=Component R283 10k
Added Member To Class: ClassName=U_Power Member=Component TP14 Test Point
Added Member To Class: ClassName=SDRAM Member=Wire DQM4
Added Member To Class: ClassName=SDRAM Member=Wire DQM5
Added Member To Class: ClassName=SDRAM Member=Wire DQM6
Added Member To Class: ClassName=SDRAM Member=Wire DQM7
Added Member To Class: ClassName=SDRAM Member=Wire DQM10
Added Member To Class: ClassName=SDRAM Member=Wire DQM11
Added Member To Class: ClassName=Power Member=Wire P3V3_buck
Added Member To Class: ClassName=Power Member=Wire P3V3MP
